delta,linear_mean,linear_std,logistic_mean,logistic_std
0.0,0.50512,0.022047802611598295,0.5049999999999999,0.02183666641225259
0.125,0.52752,0.02387152278343383,0.5274,0.0237461575839124
0.25,0.5554,0.024942333491475874,0.5553600000000001,0.025121910755354557
0.375,0.57112,0.019457276273928965,0.5712,0.01947305831142091
0.5,0.5922,0.019795959183631393,0.5922,0.019775742716772994
0.625,0.63276,0.019027937355373038,0.63264,0.01920183324581277
0.75,0.6518800000000001,0.02043295377570263,0.6519600000000001,0.020204910294282438
0.875,0.67048,0.023035832956504944,0.6700800000000001,0.022901388604187292
1.0,0.6877200000000001,0.020329328567367858,0.68768,0.019961402756319482
1.125,0.7139200000000001,0.019303719848775262,0.7136000000000001,0.0195509590557599
1.25,0.7365199999999998,0.02067195201232822,0.7360399999999998,0.020534809470749926
1.375,0.7500800000000001,0.020190928656206003,0.74968,0.020514814159528733
1.5,0.7714000000000002,0.0166192659284338,0.7711199999999999,0.016570624611039877
1.625,0.7948000000000001,0.014102482051043346,0.79476,0.013942108879219088
1.75,0.8155999999999999,0.015210522673465203,0.8155199999999999,0.015022969080711013
1.875,0.82632,0.01726666151866073,0.8260000000000002,0.016852299546352697
2.0,0.83852,0.014965613919916559,0.83796,0.015679234675200198
2.125,0.8572,0.01545574326908934,0.8568399999999999,0.015859836064726535
2.25,0.8713599999999999,0.014025348480519133,0.8714400000000001,0.013422607794314796
2.375,0.8807600000000001,0.013457429174994767,0.8810400000000002,0.013607292162660446
2.5,0.89296,0.01435682416135269,0.8927600000000001,0.014885644090868233
2.625,0.90968,0.011152470578306864,0.90856,0.010568178651025929
2.75,0.9186,0.012738916751435334,0.9184,0.012617448236469993
2.875,0.92352,0.009851375538471766,0.92352,0.009786194357358741
3.0,0.9315200000000001,0.008868460971329775,0.93172,0.009191387272876684
